Date & Time of scan=2022/8/2 12:04:33
Rack Identifier = 123123123
RACK,TUBE,BARCODE
123123123,A01,4019181570,
123123123,A02,4019181488,
123123123,A03,4019181499,
123123123,A04,4019181550,
123123123,A05,4019181501,
123123123,A06,4019181528,
123123123,A07,4019181486,
123123123,A08,4019181512,
123123123,A09,4019181517,
123123123,A10,4019181563,
123123123,A11,4019181568,
123123123,A12,4019181537,
123123123,B01,4019181534,
123123123,B02,4019181482,
123123123,B03,4019181544,
123123123,B04,4019181525,
123123123,B05,4019181516,
123123123,B06,4019181532,
123123123,B07,4019181505,
123123123,B08,4019181572,
123123123,B09,4019181575,
123123123,B10,4019181538,
123123123,B11,4019181549,
123123123,B12,4019181506,
123123123,C01,4019181556,
123123123,C02,4019181480,
123123123,C03,4019181500,
123123123,C04,4019181521,
123123123,C05,4019181483,
123123123,C06,4019181566,
123123123,C07,4019181526,
123123123,C08,4019181527,
123123123,C09,4019181493,
123123123,C10,4019181520,
123123123,C11,4019181554,
123123123,C12,4019181487,
123123123,D01,4019181545,
123123123,D02,4019181542,
123123123,D03,4019181551,
123123123,D04,4019181492,
123123123,D05,4019181541,
123123123,D06,4019181571,
123123123,D07,4019181558,
123123123,D08,4019181562,
123123123,D09,4019181548,
123123123,D10,4019181557,
123123123,D11,4019181502,
123123123,D12,4019181524,
123123123,E01,4019181553,
123123123,E02,4019181508,
123123123,E03,4019181530,
123123123,E04,4019181518,
123123123,E05,4019181490,
123123123,E06,4019181491,
123123123,E07,4019181509,
123123123,E08,4019181559,
123123123,E09,4019181540,
123123123,E10,4019181507,
123123123,E11,4019181565,
123123123,E12,4019181573,
123123123,F01,4019181504,
123123123,F02,4019181533,
123123123,F03,4019181529,
123123123,F04,4019181485,
123123123,F05,4019181539,
123123123,F06,4019181495,
123123123,F07,4019181555,
123123123,F08,4019181546,
123123123,F09,4019181561,
123123123,F10,4019181564,
123123123,F11,4019181560,
123123123,F12,4019181543,
123123123,G01,4019181503,
123123123,G02,4019181489,
123123123,G03,4019181531,
123123123,G04,4019181497,
123123123,G05,4019181552,
123123123,G06,4019181513,
123123123,G07,4019181569,
123123123,G08,4019181511,
123123123,G09,4019181574,
123123123,G10,4019181522,
123123123,G11,4019181494,
123123123,G12,4019181514,
123123123,H01,4019181567,
123123123,H02,4019181523,
123123123,H03,4019181519,
123123123,H04,4019181547,
123123123,H05,4019181510,
123123123,H06,4019181498,
123123123,H07,4019181536,
123123123,H08,4019181535,
123123123,H09,4019181515,
123123123,H10,4019181481,
123123123,H11,4019181496,
123123123,H12,4019181484,
