Date & Time of scan=8/24/2022 1:49:04 AM
Rack Identifier = 456
RACK,TUBE,BARCODE
456,1,R0032676,
456,2,R0032701,
456,3,R0032658,
456,4,R0032687,
456,5,R0032697,
456,6,R0032673,
456,7,R0032670,
456,8,R0032705,
456,9,R0032728,
456,10,R0063927,
456,11,R0032709,
456,12,R0032693,
456,13,R0032706,
456,14,R0032653,
456,15,R0032654,
456,16,R0032689,
456,17,R0032722,
456,18,R0032684,
456,19,R0032667,
456,20,R0032712,
456,21,R0032734,
456,22,R0032730,
456,23,R0032685,
456,24,R0032729,
456,25,R0032669,
456,26,R0032704,
456,27,R0032690,
456,28,R0032696,
456,29,R0024974,
456,30,R0032672,
456,31,R0032652,
456,32,R0032683,
456,33,R0032655,
456,34,R0032695,
456,35,R0032699,
456,36,R0032733,
456,37,R0032679,
456,38,R0025369,
456,39,R0024951,
456,40,R0023412,
456,41,R0032723,
456,42,R0032649,
456,43,NoData,
456,44,R0032711,
456,45,R0032646,
456,46,R0032678,
456,47,R0032680,
456,48,R0025345,
456,49,R0025525,
456,50,R0024785,
456,51,R0032688,
456,52,R0032724,
456,53,R0032647,
456,54,R0032686,
456,55,R0032732,
456,56,R0032731,
456,57,R0032735,
456,58,NoData,
456,59,R0025239,
456,60,R0025669,
456,61,R0032715,
456,62,R0032714,
456,63,R0032648,
456,64,R0032727,
456,65,R0032657,
456,66,R0032694,
456,67,R0032675,
456,68,R0032661,
456,69,R0025234,
456,70,R0025608,
456,71,R0032726,
456,72,R0032665,
456,73,R0032691,
456,74,R0032700,
456,75,R0032681,
456,76,R0032660,
456,77,R0032725,
456,78,R0032677,
456,79,R0024870,
456,80,R0024336,
