Tube ID,Row,Column,Original Sample,Box ID:406160
"61321375","1","A","",
"61298784","1","B","",
"60806007","1","C","",
"61299055","1","D","",
"60580951","1","E","",
"61570284","1","F","",
"61617486","1","G","",
"50015180","1","H","",
"61387267","2","A","",
"61389801","2","B","",
"61613528","2","C","",
"61609773","2","D","",
"61497796","2","E","",
"50014257","2","F","",
"61344928","2","G","",
"61614763","2","H","",
"61425458","3","A","",
"61325294","3","B","",
"60716713","3","C","",
"61612843","3","D","",
"61406292","3","E","",
"61354375","3","F","",
"60588466","3","G","",
"50015291","3","H","",
"50021847","4","A","",
"50014656","4","B","",
"61504832","4","C","",
"60729934","4","D","",
"61471652","4","E","",
"61334196","4","F","",
"61487868","4","G","",
"61336742","4","H","",
"61345894","5","A","",
"61479006","5","B","",
"61611961","5","C","",
"61352435","5","D","",
"61470772","5","E","",
"61298737","5","F","",
"61336727","5","G","",
"50016846","5","H","",
"61332504","6","A","",
"50017093","6","B","",
"61366198","6","C","",
"60588467","6","D","",
"50010406","6","E","",
"50015080","6","F","",
"61615617","6","G","",
"61388914","6","H","",
"61464681","7","A","",
"61388498","7","B","",
"50015981","7","C","",
"61391039","7","D","",
"50007004","7","E","",
"61396038","7","F","",
"61603270","7","G","",
"61425480","7","H","",
"50013815","8","A","",
"61611675","8","B","",
"60580974","8","C","",
"61417149","8","D","",
"61341282","8","E","",
"61452866","8","F","",
"61338926","8","G","",
"61358192","8","H","",
"50015299","9","A","",
"61479532","9","B","",
"61450760","9","C","",
"61428416","9","D","",
"50057755","9","E","",
"61350370","9","F","",
"61423359","9","G","",
"61512850","9","H","",
"61424723","10","A","",
"60585959","10","B","",
"61370765","10","C","",
"61604746","10","D","",
"61299371","10","E","",
"61518083","10","F","",
"61329039","10","G","",
"50013905","10","H","",
"61340036","11","A","",
"61334561","11","B","",
"61471390","11","C","",
"50015759","11","D","",
"61335269","11","E","",
"61376274","11","F","",
"61497163","11","G","",
"61406329","11","H","",
"61522101","12","A","",
"61345089","12","B","",
"61380509","12","C","",
"61413501","12","D","",
"61514789","12","E","",
"61381174","12","F","",
"50016815","12","G","",
"61460391","12","H","",
