TubeNo,LiqLevel,SepLevel,Tubeheight
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996
1,568,269,995
2,619,300,995
3,360,168,994
4,340,161,994
5,437,220,996
6,414,211,996
7,549,249,995
8,470,43,996



