TubeNo,LiqLevel,SepLevel,Tubeheight
1,50.4,20.0,99.5
2,30.4,15.0,99.5
3,40.4,15.2,99.5
4,50.4,15.2,99.5
5,25.4,15.5,99.5
6,35.4,15.2,99.5
7,30.2,15.2,99.5
8,50.4,15.2,99.5
9,25.4,15.5,99.5
10,30.2,15.2,99.5
11,50.4,15.2,99.5
12,30.4,15.0,99.5
13,40.4,15.2,99.5
14,50.4,15.2,99.5
15,25.4,15.5,99.5
16,35.4,13.2,99.5
17,30.2,15.2,99.5
18,50.4,15.2,99.5
19,25.4,15.5,99.5
20,30.2,15.2,99.5
21,50.4,15.2,99.5
22,30.4,15.0,99.5
23,40.4,15.2,99.5
24,50.4,15.2,99.5
25,25.4,15.5,99.5
26,35.4,13.2,99.5
27,30.2,15.2,99.5
28,50.4,15.2,99.5
29,25.4,15.5,99.5
30,30.2,15.2,99.5
31,50.4,15.2,99.5
32,30.4,15.0,99.5
33,40.4,15.2,99.5
34,50.4,15.2,99.5
35,25.4,15.5,99.5
36,35.4,13.2,99.5
37,30.2,15.2,99.5
38,50.4,15.2,99.5
39,25.4,15.5,99.5
40,30.2,15.2,99.5
41,50.4,20.0,99.5
42,30.4,15.0,99.5
43,40.4,15.2,99.5
44,50.4,15.2,99.5
45,25.4,15.5,99.5
46,35.4,13.2,99.5
47,30.2,15.2,99.5
48,50.4,15.2,99.5
49,25.4,15.5,99.5
50,30.2,15.2,99.5
51,50.4,15.2,99.5
52,30.4,15.0,99.5
53,40.4,15.2,99.5
54,50.4,15.2,99.5
55,25.4,15.5,99.5
56,35.4,13.2,99.5
57,30.2,15.2,99.5
58,50.4,15.2,99.5
59,25.4,15.5,99.5
60,30.2,15.2,99.5
61,50.4,15.2,99.5
62,30.4,15.0,99.5
63,40.4,15.2,99.5
64,50.4,15.2,99.5
65,25.4,15.5,99.5
66,35.4,13.2,99.5
67,30.2,15.2,99.5
68,50.4,15.2,99.5
69,25.4,15.5,99.5
70,30.2,15.2,99.5
71,50.4,15.2,99.5
72,30.4,15.0,99.5
73,40.4,15.2,99.5
74,50.4,15.2,99.5
75,25.4,15.5,99.5
76,35.4,13.2,99.5
77,30.2,15.2,99.5
78,50.4,15.2,99.5
79,25.4,15.5,99.5
80,30.2,15.2,99.5
81,50.4,15.2,99.5
