DateTime:22/11/2023 2:59:35 pm
rackID=147
rack,tube,barcode
147,1,0750227891
147,2,0750227903
147,3,0750227915
147,4,0750227927
147,5,0750227939
147,6,0750227951
147,7,0750227963
147,8,0750227975
147,9,0750227892
147,10,0750227904
147,11,0750227916
147,12,0750227928
147,13,0750227940
147,14,0750227952
147,15,0750227964
147,16,0750227977
147,17,0750227893
147,18,0750227905
147,19,0750227917
147,20,0750227929
147,21,0750227941
147,22,0750227953
147,23,0750227965
147,24,0750227978
147,25,0750227894
147,26,0750227906
147,27,0750227918
147,28,0750227930
147,29,0750227942
147,30,0750227954
147,31,0750227966
147,32,0750227979
147,33,0750227895
147,34,0750227907
147,35,0750227919
147,36,0750227931
147,37,0750227943
147,38,0750227955
147,39,0750227967
147,40,0750227980
147,41,0750227896
147,42,0750227908
147,43,0750227920
147,44,0750227932
147,45,0750227944
147,46,0750227956
147,47,0750227968
147,48,0750227981
147,49,0750227897
147,50,0750227909
147,51,false
147,52,0750227933
147,53,0750227945
147,54,0750227957
147,55,0750227969
147,56,0750227982
147,57,0750227898
147,58,0750227910
147,59,0750227922
147,60,0750227934
147,61,0750227946
147,62,0750227958
147,63,0750227970
147,64,0750227983
147,65,0750227899
147,66,0750227911
147,67,0750227923
147,68,0750227935
147,69,0750227947
147,70,0750227959
147,71,0750227971
147,72,0750227984
147,73,0750227900
147,74,0750227912
147,75,0750227924
147,76,0750227936
147,77,0750227948
147,78,0750227960
147,79,0750227972
147,80,0750227985
147,81,0750227901
147,82,0750227913
147,83,0750227925
147,84,0750227937
147,85,0750227949
147,86,0750227961
147,87,0750227973
147,88,0750227986
147,89,0750227902
147,90,0750227914
147,91,0750227926
147,92,0750227938
147,93,0750227950
147,94,0750227962
147,95,0750227974
147,96,0750227987
