DateTime:28/11/2023 9:38:39 am
rackID=InkAuto
tubeID,tubeDescription,barcode
1,A01,11935384TY
2,B01,11917832TY
3,C01,11925301TY
4,D01,11925905TY
5,E01,11913167TY
6,F01,11929662TY
7,G01,11930748TY
8,H01,11930110TY
9,A02,11930136TY
10,B02,11270664TY
11,C02,11935218TY
12,D02,11913497TY
13,E02,11913532TY
14,F02,11272810TY
15,G02,11913169TY
16,H02,11918022TY
17,A03,11269710TY
18,B03,11931960TY
19,C03,11929088TY
20,D03,11934592TY
21,E03,11913711TY
22,F03,11912936TY
23,G03,11246463TY
24,H03,11932505TY
25,A04,11911023TY
26,B04,11931496TY
27,C04,11928581TY
28,D04,11933605TY
29,E04,11911487TY
30,F04,11930195TY
31,G04,11916372TY
32,H04,11916989TY
33,A05,11929422TY
34,B05,11930697TY
35,C05,11911638TY
36,D05,11933663TY
37,E05,11273058TY
38,F05,11916185TY
39,G05,11910566TY
40,H05,11934319TY
41,A06,11912176TY
42,B06,11932059TY
43,C06,11933547TY
44,D06,11271159TY
45,E06,11917721TY
46,F06,11911159TY
47,G06,11914282TY
48,H06,11931195TY
49,A07,11911358TY
50,B07,11912306TY
51,C07,11932999TY
52,D07,11933391TY
53,E07,11915592TY
54,F07,11915319TY
55,G07,12012911TY
56,H07,11912746TY
57,A08,11912127TY
58,B08,11913330TY
59,C08,11930823TY
60,D08,11929985TY
61,E08,11273299TY
62,F08,11916462TY
63,G08,11934110TY
64,H08,11912523TY
65,A09,11928260TY
66,B09,11912638TY
67,C09,11269025TY
68,D09,11911218TY
69,E09,11915826TY
70,F09,11916642TY
71,G09,11926350TY
72,H09,11916071TY
73,A10,11911203TY
74,B10,11933536TY
75,C10,11934542TY
76,D10,11927588TY
77,E10,11916924TY
78,F10,11915292TY
79,G10,11916081TY
80,H10,11916687TY
81,A11,11916604TY
82,B11,12013470TY
83,C11,11931270TY
84,D11,11270709TY
85,E11,11916095TY
86,F11,11917001TY
87,G11,11916173TY
88,H11,11915702TY
89,A12,12013390TY
90,B12,11910443TY
91,C12,11915643TY
92,D12,11932799TY
93,E12,11935425TY
94,F12,11913525TY
95,G12,11933661TY
96,H12,11933024TY
