Barcode,Level1,Level2,Vol
"456307 ",62.700000,30.400000,2424.000000
"456361 ",49.100000,23.100000,1920.000000
"450437 ",62.900000,33.100000,2224.000000
"456327 ",61.300000,35.500000,1904.000000
"456314 ",58.300000,32.000000,1944.000000
"456330 ",59.800000,36.200000,1728.000000
"456383 ",62.800000,34.200000,2128.000000
"456335 ",63.000000,29.300000,2536.000000
"456305 ",57.000000,34.300000,1656.000000
"440826 ",62.300000,37.200000,1848.000000
"456342 ",58.200000,28.900000,2184.000000
"456309 ",61.400000,31.700000,2216.000000
"456219 ",63.100000,31.400000,2376.000000
"456317 ",52.700000,25.100000,2048.000000
"456205 ",63.300000,29.000000,2584.000000
"456429 ",63.300000,35.700000,2048.000000
